ACK_ID,SCH_H_PLAN_YEAR_BEGIN_DATE,SCH_H_TAX_PRD,SCH_H_PN,SCH_H_EIN,NON_INT_BEAR_CASH_BOY_AMT,EMPLR_CONTRIB_BOY_AMT,PARTCP_CONTRIB_BOY_AMT,OTHER_RECEIVABLES_BOY_AMT,INT_BEAR_CASH_BOY_AMT,GOVT_SEC_BOY_AMT,CORP_DEBT_PREFERRED_BOY_AMT,CORP_DEBT_OTHER_BOY_AMT,PREF_STOCK_BOY_AMT,COMMON_STOCK_BOY_AMT,JOINT_VENTURE_BOY_AMT,REAL_ESTATE_BOY_AMT,OTHER_LOANS_BOY_AMT,PARTCP_LOANS_BOY_AMT,INT_COMMON_TR_BOY_AMT,INT_POOL_SEP_ACCT_BOY_AMT,INT_MASTER_TR_BOY_AMT,INT_103_12_INVST_BOY_AMT,INT_REG_INVST_CO_BOY_AMT,INS_CO_GEN_ACCT_BOY_AMT,OTH_INVST_BOY_AMT,EMPLR_SEC_BOY_AMT,EMPLR_PROP_BOY_AMT,BLDGS_USED_BOY_AMT,TOT_ASSETS_BOY_AMT,BNFTS_PAYABLE_BOY_AMT,OPRTNG_PAYABLE_BOY_AMT,ACQUIS_INDBT_BOY_AMT,OTHER_LIAB_BOY_AMT,TOT_LIABILITIES_BOY_AMT,NET_ASSETS_BOY_AMT,NON_INT_BEAR_CASH_EOY_AMT,EMPLR_CONTRIB_EOY_AMT,PARTCP_CONTRIB_EOY_AMT,OTHER_RECEIVABLES_EOY_AMT,INT_BEAR_CASH_EOY_AMT,GOVT_SEC_EOY_AMT,CORP_DEBT_PREFERRED_EOY_AMT,CORP_DEBT_OTHER_EOY_AMT,PREF_STOCK_EOY_AMT,COMMON_STOCK_EOY_AMT,JOINT_VENTURE_EOY_AMT,REAL_ESTATE_EOY_AMT,OTHER_LOANS_EOY_AMT,PARTCP_LOANS_EOY_AMT,INT_COMMON_TR_EOY_AMT,INT_POOL_SEP_ACCT_EOY_AMT,INT_MASTER_TR_EOY_AMT,INT_103_12_INVST_EOY_AMT,INT_REG_INVST_CO_EOY_AMT,INS_CO_GEN_ACCT_EOY_AMT,OTH_INVST_EOY_AMT,EMPLR_SEC_EOY_AMT,EMPLR_PROP_EOY_AMT,BLDGS_USED_EOY_AMT,TOT_ASSETS_EOY_AMT,BNFTS_PAYABLE_EOY_AMT,OPRTNG_PAYABLE_EOY_AMT,ACQUIS_INDBT_EOY_AMT,OTHER_LIAB_EOY_AMT,TOT_LIABILITIES_EOY_AMT,NET_ASSETS_EOY_AMT,EMPLR_CONTRIB_INCOME_AMT,PARTICIPANT_CONTRIB_AMT,OTH_CONTRIB_RCVD_AMT,NON_CASH_CONTRIB_BS_AMT,TOT_CONTRIB_AMT,INT_BEAR_CASH_AMT,INT_ON_GOVT_SEC_AMT,INT_ON_CORP_DEBT_AMT,INT_ON_OTH_LOANS_AMT,INT_ON_PARTCP_LOANS_AMT,INT_ON_OTH_INVST_AMT,TOTAL_INTEREST_AMT,DIVND_PREF_STOCK_AMT,DIVND_COMMON_STOCK_AMT,REGISTERED_INVST_AMT,TOTAL_DIVIDENDS_AMT,TOTAL_RENTS_AMT,AGGREGATE_PROCEEDS_AMT,AGGREGATE_COSTS_AMT,TOT_GAIN_LOSS_SALE_AST_AMT,UNREALZD_APPRCTN_RE_AMT,UNREALZD_APPRCTN_OTH_AMT,TOT_UNREALZD_APPRCTN_AMT,GAIN_LOSS_COM_TRUST_AMT,GAIN_LOSS_POOL_SEP_AMT,GAIN_LOSS_MASTER_TR_AMT,GAIN_LOSS_103_12_INVST_AMT,GAIN_LOSS_REG_INVST_AMT,OTHER_INCOME_AMT,TOT_INCOME_AMT,DISTRIB_DRT_PARTCP_AMT,INS_CARRIER_BNFTS_AMT,OTH_BNFT_PAYMENT_AMT,TOT_DISTRIB_BNFT_AMT,TOT_CORRECTIVE_DISTRIB_AMT,TOT_DEEMED_DISTR_PART_LNS_AMT,TOT_INT_EXPENSE_AMT,PROFESSIONAL_FEES_AMT,CONTRACT_ADMIN_FEES_AMT,INVST_MGMT_FEES_AMT,OTHER_ADMIN_FEES_AMT,TOT_ADMIN_EXPENSES_AMT,TOT_EXPENSES_AMT,NET_INCOME_AMT,TOT_TRANSFERS_TO_AMT,TOT_TRANSFERS_FROM_AMT,ACCTNT_OPINION_TYPE_CD,ACCT_PERFORMED_LTD_AUDIT_IND,ACCOUNTANT_FIRM_NAME,ACCOUNTANT_FIRM_EIN,ACCT_OPIN_NOT_ON_FILE_IND,FAIL_TRANSMIT_CONTRIB_IND,FAIL_TRANSMIT_CONTRIB_AMT,LOANS_IN_DEFAULT_IND,LOANS_IN_DEFAULT_AMT,LEASES_IN_DEFAULT_IND,LEASES_IN_DEFAULT_AMT,PARTY_IN_INT_NOT_RPTD_IND,PARTY_IN_INT_NOT_RPTD_AMT,PLAN_INS_FDLTY_BOND_IND,PLAN_INS_FDLTY_BOND_AMT,LOSS_DISCV_DUR_YEAR_IND,LOSS_DISCV_DUR_YEAR_AMT,ASSET_UNDETERM_VAL_IND,ASSET_UNDETERM_VAL_AMT,NON_CASH_CONTRIB_IND,NON_CASH_CONTRIB_AMT,AST_HELD_INVST_IND,FIVE_PRCNT_TRANS_IND,ALL_PLAN_AST_DISTRIB_IND,FAIL_PROVIDE_BENEFIT_DUE_IND,FAIL_PROVIDE_BENEFIT_DUE_AMT,PLAN_BLACKOUT_PERIOD_IND,COMPLY_BLACKOUT_NOTICE_IND,RES_TERM_PLAN_ADPT_IND,RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,COVERED_PBGC_INSURANCE_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHON_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER,ACCT_PERF_LTD_AUDIT_103_8_IND,ACCT_PERF_LTD_AUDIT_103_12_IND,ACCT_PERF_NOT_LTD_AUDIT_IND,SALARIES_ALLOWANCES_AMT,OTH_RECORDKEEPING_FEES_AMT,IQPA_AUDIT_FEES_AMT,TRUSTEE_CUSTODIAL_FEES_AMT,ACTUARIAL_FEES_AMT,LEGAL_FEES_AMT,VALUATION_APPRAISAL_FEES_AMT,OTHER_TRUSTEE_FEES_EXPENSES_AMT
20240823125905NAL0013205986001,2023-01-01,2023-12-31,002,043175021,148264,15173,,0,156342,,,,,,,,,,,,,,2036257,,,2402402,,,4758438,,,61236,,61236,4697202,0,5174,,10815,2632787,,,,,,,,,,,,,,0,,,4169668,,,6818444,,,0,,0,6818444,351174,,,,351174,19388,,,,,,19388,,130242,57141,187383,,,,0,,1767266,1767266,,,,,48181,,2373392,238066,,,238066,,,1531,,,,,12553,252150,2121242,,,1,,SULLIVAN & FOLAN LLC,043252952,,2,,2,,2,,2,,1,475844,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,1,,,,12553,,,,
20240823155005NAL0006520449001,2023-01-01,2023-12-31,001,043175021,0,0,0,0,569564,0,0,0,0,0,0,0,0,222369,0,0,0,0,12036541,0,0,0,0,0,12828474,0,0,0,0,0,12828474,0,0,0,0,620850,0,0,0,0,0,0,0,0,231363,0,0,0,0,14745592,0,0,0,0,0,15597805,0,0,0,0,0,15597805,0,842066,0,0,842066,28852,0,0,0,10722,0,39574,0,0,391492,391492,0,0,0,0,0,0,0,0,0,0,0,1995213,0,3268345,437758,0,0,437758,0,0,0,,0,33396,0,61256,499014,2769331,0,0,1,,"SULLIVAN AND FOLAN, LLC",043252952,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,2,2,,,,,,,,,,,,,,1,0,0,0,27860,0,0,0,0,0,0
20240801103321NAL0038642960001,2023-01-01,2023-12-31,001,042682840,,315913,78043,,,,,,,,,,,1267556,,,,,77587478,,,,,,79248990,,39486,,,39486,79209504,,17613,88463,,,,,,,,,,,1666711,,,,,91705871,,,,,,93478658,,1392,,,1392,93477266,1012448,5216212,723886,,6952546,,,,,94670,,94670,,,2235325,2235325,,,,0,,,0,,,,,12956934,195887,22435362,7660830,,,7660830,27467,,,,104748,149671,224884,479303,8167600,14267762,,,1,,"WITHUMSMITH+BROWN, PC",222027092,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,1,,,,,,,,,,
20240730115502NAL0019972993001,2023-01-01,2023-12-31,001,042821431,0,1975000,0,0,2864638,0,0,0,0,60963,0,0,0,400143,3256061,0,0,0,116748990,0,0,0,0,0,125305795,0,0,0,0,0,125305795,550,2100000,0,0,3732918,0,0,0,0,124080,0,0,0,575161,2357076,0,0,0,143057222,0,-1200,0,0,0,151945807,0,0,0,0,0,151945807,3545098,5472645,1548482,0,10566225,136600,0,0,0,32798,0,169398,0,3413,3936325,3939738,0,92399,82096,10303,0,-2918,-2918,143978,0,0,0,21126898,140157,36093779,9487490,0,0,9487490,0,0,0,,0,28536,140156,83175,9570665,26523114,116898,0,1,,"PKF O'CONNOR DAVIES, LLP",271728945,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,2,2,,,,,,,,,,,,,,1,0,0,0,-85517,0,0,0,0,0,0
20240730121234NAL0011802627001,2023-01-01,2023-12-31,001,042821431,0,1975000,0,0,2864638,0,0,0,0,60963,0,0,0,400143,3256061,0,0,0,116748990,0,0,0,0,0,125305795,0,0,0,0,0,125305795,550,2100000,0,0,3732918,0,0,0,0,124080,0,0,0,575161,2357076,0,0,0,143057222,0,-1200,0,0,0,151945807,0,0,0,0,0,151945807,3545098,5472645,1548482,0,10566225,136600,0,0,0,32798,0,169398,0,3413,3936325,3939738,0,92399,82096,10303,0,-2918,-2918,143978,0,0,0,21126898,140157,36093779,9487490,0,0,9487490,0,0,0,,0,28536,140156,83175,9570665,26523114,116898,0,1,,"PKF O'CONNOR DAVIES, LLP",271728945,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,2,2,,,,,,,,,,,,,,1,0,0,0,-85517,0,0,0,0,0,0
20240729101826NAL0019219425001,2023-01-01,2023-12-31,003,731627673,,,,,1160198,,,,,,,,,,,,,,,,,14987837,,,16148035,,,,3696618,3696618,12451417,,,,,1207374,,,,,,,,,,,,,,,,,13885182,,,15092556,,,,3049802,3049802,12042754,830021,,,,830021,54992,,,,,,54992,,436379,,436379,,,,0,,-695740,-695740,,,,,-136865,,488787,595823,,,595823,,,295729,,,,,25,891577,-402790,,5873,1,,"WOLF & COMPANY, P.C.",042689883,,2,,2,,2,,2,,1,8000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,1,,,,,,,,25
20240729163255NAL0041675506001,2023-01-01,2023-11-09,003,521405842,,9235,,,9919193,,,,,,,,,,,,,,,,,,,,9928428,44,,,,44,9928384,,0,,,0,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,,0,1961,,,,,,1961,,,,0,,,,0,,,0,,,,,,348031,349992,10278346,,,10278346,,,,,,,,30,10278376,-9928384,,,1,,MAYER HOFFMAN MCCANN PC,431947695,,2,,2,,2,,2,,1,500000,2,,2,,2,,2,2,1,2,,2,,1,0,,,,,,,,,,,,,1,1,,,,,30,,,,
20240730122215NAL0031680480001,2023-01-01,2023-12-31,002,042821431,,1140000,,,129555,,,,,,,,,,,,,,,,,23138550,,,24408105,,,,,0,24408105,,1700000,,,133689,,,,,,,,,,,,,,,,,27774900,,,29608589,,,,,0,29608589,1700000,,,,1700000,2025,,,,,,2025,,,,0,,,,0,,4636350,4636350,,,,,,,6338375,1020993,,,1020993,,,,,,,,0,1020993,5317382,,116898,1,,"PKF O'CONNOR DAVIES, LLP",271728945,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,1,,,,,,,,
20241003083406NAL0010281393001,2023-01-01,2023-12-31,002,851665706,,,,,665,,,,,,,,,,,,,,,,,26300000,,,26300665,,,,115533264,115533264,-89232599,,,,,665,,,,,,,,,,,,,,,,,28200000,,,28200665,,,,114129548,114129548,-85928883,2812955,,,,2812955,,,,,,,0,,,,0,,,,0,,1900000,1900000,,,,,,,4712955,57507,,,57507,,,1351732,,,,,0,1409239,3303716,,,1,,CLIFTONLARSONALLEN LLP,410746749,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,1,,,,,,,,
20241003065003NAL0016422064001,2023-01-01,2023-12-31,002,842403043,,157865,36278,4196,,,,,,,,,,1594,4668100,,,,9030174,,,,,,13898207,,,,,0,13898207,,182519,37132,2518,,,,,,,,,,21831,5084431,,,,9830747,,,,,,15159178,,,,,0,15159178,182519,972147,17162,,1171828,,,,,266,,266,,,518736,518736,,,,0,,,0,798215,,,,950343,,3439388,2112602,,,2112602,,,,,,34501,,65815,2178417,1260971,,,1,,"ELLIN & TUCKER, CHARTERED",520959934,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,1,,,,25092,,6222,,,,
20240604130939NAL0009372019001,2023-01-01,2023-12-31,001,043061714,,1835396,0,,,,,,,,,,,124767,1720009,,,,32288240,,,,,,35968412,,,,,,35968412,,2207096,74571,,,,,,,,,,,106698,1934124,,,,38168467,,,,,,42490956,,,,,,42490956,2207096,2433806,96178,,4737080,,,,,6377,,6377,,,1008781,1008781,,,,,,,,57166,,,,4416586,,10225990,3595572,,,3595572,,,,,,,107874,107874,3703446,6522544,,,1,,"CARON & BLETZER, PLLC",043499945,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,1,,,,,,,,,,
20240821050737NAL0005734240001,2023-01-01,2023-12-31,001,471008886,,18004,35590,,,,,,,,,,,79645,806153,,,,16064790,,,,,,17004182,,,,,0,17004182,,25110,54350,,,,,,,,,,,167163,673543,,,,21281267,,,,,,22201433,,,,,0,22201433,1107398,2640208,85318,,3832924,,,,,9044,,9044,,,609770,609770,,,,0,,,0,22900,,,,2541329,4,7015971,1567843,,,1567843,196177,9121,,,,38733,,45579,1818720,5197251,0,0,1,,WOLF & COMPANY P.C.,042689883,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,1,0,0,,6846,,,,,,
