ACK_ID,SCH_H_PLAN_YEAR_BEGIN_DATE,SCH_H_TAX_PRD,SCH_H_PN,SCH_H_EIN,NON_INT_BEAR_CASH_BOY_AMT,EMPLR_CONTRIB_BOY_AMT,PARTCP_CONTRIB_BOY_AMT,OTHER_RECEIVABLES_BOY_AMT,INT_BEAR_CASH_BOY_AMT,GOVT_SEC_BOY_AMT,CORP_DEBT_PREFERRED_BOY_AMT,CORP_DEBT_OTHER_BOY_AMT,PREF_STOCK_BOY_AMT,COMMON_STOCK_BOY_AMT,JOINT_VENTURE_BOY_AMT,REAL_ESTATE_BOY_AMT,OTHER_LOANS_BOY_AMT,PARTCP_LOANS_BOY_AMT,INT_COMMON_TR_BOY_AMT,INT_POOL_SEP_ACCT_BOY_AMT,INT_MASTER_TR_BOY_AMT,INT_103_12_INVST_BOY_AMT,INT_REG_INVST_CO_BOY_AMT,INS_CO_GEN_ACCT_BOY_AMT,OTH_INVST_BOY_AMT,EMPLR_SEC_BOY_AMT,EMPLR_PROP_BOY_AMT,BLDGS_USED_BOY_AMT,TOT_ASSETS_BOY_AMT,BNFTS_PAYABLE_BOY_AMT,OPRTNG_PAYABLE_BOY_AMT,ACQUIS_INDBT_BOY_AMT,OTHER_LIAB_BOY_AMT,TOT_LIABILITIES_BOY_AMT,NET_ASSETS_BOY_AMT,NON_INT_BEAR_CASH_EOY_AMT,EMPLR_CONTRIB_EOY_AMT,PARTCP_CONTRIB_EOY_AMT,OTHER_RECEIVABLES_EOY_AMT,INT_BEAR_CASH_EOY_AMT,GOVT_SEC_EOY_AMT,CORP_DEBT_PREFERRED_EOY_AMT,CORP_DEBT_OTHER_EOY_AMT,PREF_STOCK_EOY_AMT,COMMON_STOCK_EOY_AMT,JOINT_VENTURE_EOY_AMT,REAL_ESTATE_EOY_AMT,OTHER_LOANS_EOY_AMT,PARTCP_LOANS_EOY_AMT,INT_COMMON_TR_EOY_AMT,INT_POOL_SEP_ACCT_EOY_AMT,INT_MASTER_TR_EOY_AMT,INT_103_12_INVST_EOY_AMT,INT_REG_INVST_CO_EOY_AMT,INS_CO_GEN_ACCT_EOY_AMT,OTH_INVST_EOY_AMT,EMPLR_SEC_EOY_AMT,EMPLR_PROP_EOY_AMT,BLDGS_USED_EOY_AMT,TOT_ASSETS_EOY_AMT,BNFTS_PAYABLE_EOY_AMT,OPRTNG_PAYABLE_EOY_AMT,ACQUIS_INDBT_EOY_AMT,OTHER_LIAB_EOY_AMT,TOT_LIABILITIES_EOY_AMT,NET_ASSETS_EOY_AMT,EMPLR_CONTRIB_INCOME_AMT,PARTICIPANT_CONTRIB_AMT,OTH_CONTRIB_RCVD_AMT,NON_CASH_CONTRIB_BS_AMT,TOT_CONTRIB_AMT,INT_BEAR_CASH_AMT,INT_ON_GOVT_SEC_AMT,INT_ON_CORP_DEBT_AMT,INT_ON_OTH_LOANS_AMT,INT_ON_PARTCP_LOANS_AMT,INT_ON_OTH_INVST_AMT,TOTAL_INTEREST_AMT,DIVND_PREF_STOCK_AMT,DIVND_COMMON_STOCK_AMT,REGISTERED_INVST_AMT,TOTAL_DIVIDENDS_AMT,TOTAL_RENTS_AMT,AGGREGATE_PROCEEDS_AMT,AGGREGATE_COSTS_AMT,TOT_GAIN_LOSS_SALE_AST_AMT,UNREALZD_APPRCTN_RE_AMT,UNREALZD_APPRCTN_OTH_AMT,TOT_UNREALZD_APPRCTN_AMT,GAIN_LOSS_COM_TRUST_AMT,GAIN_LOSS_POOL_SEP_AMT,GAIN_LOSS_MASTER_TR_AMT,GAIN_LOSS_103_12_INVST_AMT,GAIN_LOSS_REG_INVST_AMT,OTHER_INCOME_AMT,TOT_INCOME_AMT,DISTRIB_DRT_PARTCP_AMT,INS_CARRIER_BNFTS_AMT,OTH_BNFT_PAYMENT_AMT,TOT_DISTRIB_BNFT_AMT,TOT_CORRECTIVE_DISTRIB_AMT,TOT_DEEMED_DISTR_PART_LNS_AMT,TOT_INT_EXPENSE_AMT,PROFESSIONAL_FEES_AMT,CONTRACT_ADMIN_FEES_AMT,INVST_MGMT_FEES_AMT,OTHER_ADMIN_FEES_AMT,TOT_ADMIN_EXPENSES_AMT,TOT_EXPENSES_AMT,NET_INCOME_AMT,TOT_TRANSFERS_TO_AMT,TOT_TRANSFERS_FROM_AMT,ACCTNT_OPINION_TYPE_CD,ACCT_PERFORMED_LTD_AUDIT_IND,ACCOUNTANT_FIRM_NAME,ACCOUNTANT_FIRM_EIN,ACCT_OPIN_NOT_ON_FILE_IND,FAIL_TRANSMIT_CONTRIB_IND,FAIL_TRANSMIT_CONTRIB_AMT,LOANS_IN_DEFAULT_IND,LOANS_IN_DEFAULT_AMT,LEASES_IN_DEFAULT_IND,LEASES_IN_DEFAULT_AMT,PARTY_IN_INT_NOT_RPTD_IND,PARTY_IN_INT_NOT_RPTD_AMT,PLAN_INS_FDLTY_BOND_IND,PLAN_INS_FDLTY_BOND_AMT,LOSS_DISCV_DUR_YEAR_IND,LOSS_DISCV_DUR_YEAR_AMT,ASSET_UNDETERM_VAL_IND,ASSET_UNDETERM_VAL_AMT,NON_CASH_CONTRIB_IND,NON_CASH_CONTRIB_AMT,AST_HELD_INVST_IND,FIVE_PRCNT_TRANS_IND,ALL_PLAN_AST_DISTRIB_IND,FAIL_PROVIDE_BENEFIT_DUE_IND,FAIL_PROVIDE_BENEFIT_DUE_AMT,PLAN_BLACKOUT_PERIOD_IND,COMPLY_BLACKOUT_NOTICE_IND,RES_TERM_PLAN_ADPT_IND,RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,COVERED_PBGC_INSURANCE_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHON_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER,ACCT_PERF_LTD_AUDIT_103_8_IND,ACCT_PERF_LTD_AUDIT_103_12_IND,ACCT_PERF_NOT_LTD_AUDIT_IND,SALARIES_ALLOWANCES_AMT,OTH_RECORDKEEPING_FEES_AMT,IQPA_AUDIT_FEES_AMT,TRUSTEE_CUSTODIAL_FEES_AMT,ACTUARIAL_FEES_AMT,LEGAL_FEES_AMT,VALUATION_APPRAISAL_FEES_AMT,OTHER_TRUSTEE_FEES_EXPENSES_AMT
20160915150719P030022320845001,2015-01-01,2015-12-31,002,043175021,200040,8625,,,,,,,,,,,,,,,,,,,,655018,,,863683,,,497192,,497192,366491,238366,2361,,,,,,,,,,,,,,,,,,,,1298378,,,1539105,,,712890,,712890,826215,266262,,,,266262,,,,,,,0,,,,0,,,,0,,87666,87666,,,,,,140565,494493,12381,,,12381,,,22388,,,,,0,34769,459724,,,1,2,"SULLIVAN AND FOLAN, LLC",043252952,,2,,2,,2,,2,,1,37000,2,,2,,2,,1,1,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20160927090430P040008484621001,2015-03-01,2016-02-29,002,042324804,,0,0,0,143224,,,,,,,,,,,,,,,,,12474453,,,12617677,0,0,0,0,0,12617677,,0,0,0,179392,,,,,,,,,,,,,,,,,11779460,,,11958852,,,,,0,11958852,480000,0,0,0,480000,457,0,0,0,,0,457,0,1362732,0,1362732,0,0,0,0,0,-694994,-694994,0,0,0,0,0,0,1148195,1807020,0,0,1807020,0,,0,0,0,0,0,0,1807020,-658825,0,,1,2,"SULLIVAN AND FOLAN, LLC",043252952,,2,0,2,0,2,0,2,0,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,1,5415,,,,,,,,,,,,,,,,
20161012084925P030022864785001,2015-01-01,2015-12-31,001,041682990,,,,,,,,,,,,,,,,,,,,,,5097441,,,5097441,,,,,0,5097441,,,,,,,,,,,,,,,,,,,,,,4420727,,,4420727,,,,,0,4420727,,,,,0,,,,,,,0,,,,0,,,,0,,38109,38109,,,,,,,38109,714823,,,714823,,,,,,,,0,714823,-676714,,,1,2,CLIFTONLARSONALLEN LLP,410746749,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20161012083748P030020642647001,2015-01-01,2015-12-31,002,203724403,,,,,,,,,,,,,,,,,,,,,,14480000,,,14480000,,,23616543,,23616543,-9136543,,,,,,,,,,,,,,,,,,,,,,18160000,,,18160000,,,22957610,,22957610,-4797610,1443002,,,,1443002,,,,,,,0,,,,0,,,,0,,3680000,3680000,,,,,,,5123002,,,,0,,,784069,,,,,0,784069,4338933,,,1,2,"GRAY, GRAY & GRAY, LLP",042088368,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20161017125447P030020211469001,2015-01-01,2015-12-31,002,042399903,1092,77721,,,,,,,,,,,,,,,,,191607,,,409449,,,679869,,,,,0,679869,15869,,,,,,,,,,,,,,,,,,,,,418465,,,434334,,,,,0,434334,,,,,0,,,,,,,0,,,26,26,,,,0,,9016,9016,,,,,,,9042,252677,,,252677,,,,1900,,,,1900,254577,-245535,,,1,2,"GOSULE, BUTKUS & JESSON, LLP",043442418,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,2,,2,,,,,,,,,,,,,,,,,
20161017150721P030033837297001,2015-01-01,2015-12-31,002,042488241,0,0,0,0,14740424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,14740424,0,0,0,0,0,14740424,0,0,0,0,273631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,273631,0,0,0,0,0,273631,0,0,0,0,0,4735,0,0,0,0,0,4735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4735,14470804,0,0,14470804,0,0,0,0,0,0,724,724,14471528,-14466793,0,0,1,2,"DICICCO, GULMAN & COMPANY",043296226,,2,,2,,2,,2,,1,5000000,2,,2,,2,,1,1,2,2,,2,,1,0,,,,,,,,,,,,,,,,,,,,,,,
20161017154824P030031949207001,2015-01-01,2015-12-31,002,042925204,,1247161,,,0,,,,,,,,,,,,,,,,,34521839,,,35769000,,,55394687,0,55394687,-19625687,,781367,,,125516,,,,,,,,,,,,,,,,,38909973,,,39816856,,,50966078,300000,51266078,-11449222,1635723,,,,1635723,,,,,,,0,,3169455,,3169455,,,,0,,4388134,4388134,,,,,,,9193312,,,,0,,,1016847,,,,,0,1016847,8176465,,,1,2,RSM US LLP,420714320,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20161017173320P030032237703001,2015-01-01,2015-12-31,003,041466100,,,,,0,,,,,,,,,,,,,,,,,30926345,,,30926345,,,21925132,,21925132,9001213,,,,,3000,,,,,,,,,,,,,,,,,34855848,,,34858848,,,21458854,,21458854,13399994,1090769,,,,1090769,19,,,,,,19,,91080,,91080,,,,0,,3939807,3939807,,,,,,,5121675,10327,,,10327,,,712567,,,,,0,722894,4398781,,,1,2,WOLF AND COMPANY P.C.,042689883,,2,,2,,2,,2,,1,2000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20161014154715P030017906141001,2015-01-01,2015-12-31,001,043005476,,790,279,,,,,,,,,,,292040,413750,,,,10412059,,,5229386,,,16348304,,,,,,16348304,,111134,68,,197480,,,,,,,,,272259,365632,,,,10355939,,,8027103,,,19329615,,,,,,19329615,2070327,913211,116326,,3099864,,,,,13038,,13038,,211541,136663,348204,,250781,79317,171464,,922253,922253,-627,,,,-234421,,4319775,1301791,,644,1302435,12305,,,,9653,,14071,23724,1338464,2981311,,,3,1,SAMET & COMPANY PC,043027605,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
20161014170359P030028859137001,2015-01-01,2015-12-31,003,043130808,0,,,0,12,,,,,,,,,,,,,,,,,40434950,,,40434962,,,22226040,,22226040,18208922,0,,,106893,19250,,,,,,,,,,,,,,,,,50239569,,,50365712,,,21600402,,21600402,28765310,1260293,,,,1260293,27,,,,,,27,,213786,,213786,,310026,269886,40140,,10288358,10288358,,,,,,,11802604,523870,,,523870,,,722346,,,,,0,1246216,10556388,,,1,2,WOLF & COMPANY P.C.,042689883,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20161014172037P030028895809001,2015-01-01,2015-12-31,003,521405842,,163,,,783550,,,,,,,,,,,,,,,,,12704153,,,13487866,,,,507,507,13487359,,,,,752852,,,,,,,,,,,,,,,,,11560807,,,12313659,,,,,0,12313659,40051,,,,40051,3845,,,,,,3845,,,,0,,,,0,,220292,220292,,,,,,,264188,1437888,,,1437888,,,,,,,,0,1437888,-1173700,,,1,2,MAYER HOFFMAN MCCANN PC,431947695,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,1,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20161007154327P030013322951001,2015-01-01,2015-12-31,003,042301242,,0,0,0,,,,,,,,,,,,,,,,,0,2866000,,,2866000,0,0,0,0,0,2866000,,0,0,0,,,,,,,,,,,,,,,,,0,1259040,,,1259040,,,,,0,1259040,76702,0,0,0,76702,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,-1606960,-1606960,0,0,0,0,0,0,-1530258,76702,0,0,76702,0,,0,0,0,0,0,0,76702,-1606960,0,,1,2,"COLES & BODOIN, LLP",042620388,,2,0,2,0,2,0,2,0,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,2,,,,,,,,,,,,,,,,,
20161014165140P030028829857001,2015-01-01,2015-12-31,002,042347643,157011,0,0,11823,,,,,,,,,,,,,,,,,,112154640,,,112323474,152670,0,0,16164,168834,112154640,133409,0,0,2933,,,,,,,,,,,,,,,,,,121137900,,,121274242,108768,27020,,554,136342,121137900,6042327,0,0,0,6042327,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,8983260,8983260,0,0,0,0,0,15542,15041129,6030295,0,0,6030295,0,,0,0,0,0,27574,27574,6057869,8983260,0,,1,2,MAYER HOFFMAN MCCANN PC,431947695,,2,0,2,0,2,0,2,0,1,3000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,2,,,,,,,,,,,,,,,,,
